#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Sep 24 15:28:17 EDT 2020,19,19,RequiredClassesSuite,SafeSocializationtxtProvided+ SocialDistanceBasicMainProvided+ SocialDistanceClassRegistryProvided+ SocialDistanceDerivingMainProvided+ SocialDistanceInferringMainProvided+ SocialDistanceInterpolatingMainProvided+ SocialDistanceUtilityProvided+ SocialDistanceUtilityTesterMainProvided+ , , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedSafetyTest DerivingMainTest ExpectedSubtleJavaDocs GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest MVCAndFactoryCalls ModelFactoryTest ModelReuse PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest PrintingCodeReuse UtilityTesterMainTest ViewFactoryTest WekaFileSizeTest ,
1,Thu Sep 24 15:28:18 EDT 2020,19,0,RequiredClassesSuite,SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , , ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedSafetyTest DerivingMainTest ExpectedSubtleJavaDocs GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedReuse InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest MVCAndFactoryCalls ModelFactoryTest ModelReuse PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest PrintingCodeReuse UtilityTesterMainTest ViewFactoryTest WekaFileSizeTest ,
2,Thu Sep 24 15:28:23 EDT 2020,21,2,A1ModularitySuite,ModelReuse+ SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ExpectedSubtleJavaDocs+ InterpolatedReuse+ MVCAndFactoryCalls+ PrintingCodeReuse+ ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactoryTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest UtilityTesterMainTest ViewFactoryTest WekaFileSizeTest ,
3,Thu Sep 24 15:28:25 EDT 2020,21,0,A1ModularitySuite,ModelReuse SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ExpectedSubtleJavaDocs InterpolatedReuse MVCAndFactoryCalls PrintingCodeReuse ,A1AccessModifiersMatched A1InterfaceAsType A1MnemonicNames A1NamedConstants A1NoCheckstyleWarnings A1PublicMethodsOverride BasicMainTest ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactoryTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest UtilityTesterMainTest ViewFactoryTest WekaFileSizeTest ,
4,Thu Sep 24 15:28:26 EDT 2020,26,5,A1GeneralStyleSuite,A1AccessModifiersMatched+ A1InterfaceAsType+ ModelReuse SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ,A1MnemonicNames+ A1NamedConstants+ A1PublicMethodsOverride+ ,A1NoCheckstyleWarnings+ ExpectedSubtleJavaDocs InterpolatedReuse MVCAndFactoryCalls PrintingCodeReuse ,BasicMainTest ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactoryTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest UtilityTesterMainTest ViewFactoryTest WekaFileSizeTest ,
5,Thu Sep 24 15:28:36 EDT 2020,36,10,FactoriesSuite,A1AccessModifiersMatched A1InterfaceAsType ClassifierFactoryTest+ ControllerFactoryTest+ ModelFactoryTest+ ModelReuse SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactoryTest+ ,A1MnemonicNames A1NamedConstants A1PublicMethodsOverride ,A1NoCheckstyleWarnings ExpectedSubtleJavaDocs InterpolatedReuse MVCAndFactoryCalls PrintingCodeReuse ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest UtilityTesterMainTest WekaFileSizeTest ,
6,Thu Sep 24 15:28:37 EDT 2020,36,0,FactoriesSuite,A1AccessModifiersMatched A1InterfaceAsType ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ModelReuse SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactoryTest ,A1MnemonicNames A1NamedConstants A1PublicMethodsOverride ,A1NoCheckstyleWarnings ExpectedSubtleJavaDocs InterpolatedReuse MVCAndFactoryCalls PrintingCodeReuse ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintSafeDistancesAndDurationsTest UtilityTesterMainTest WekaFileSizeTest ,
7,Thu Sep 24 15:28:40 EDT 2020,43,7,UtilityClassSuite,A1AccessModifiersMatched A1InterfaceAsType ClassifierFactoryTest ControllerFactoryTest GivenSafetyTest+ ModelFactoryTest ModelReuse PrintGeneratedCombinationDerivedSafetyTest+ SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactoryTest WekaFileSizeTest+ ,A1MnemonicNames A1NamedConstants A1PublicMethodsOverride DerivedSafetyTest+ GenerateSafeDistancesAndDurationsTest+ InterpolatedSafetyTest+ IsInterpolatedTwoParameterSafetyTest+ PrintSafeDistancesAndDurationsTest+ ,A1NoCheckstyleWarnings CompareSafetyComputationsTest+ ExpectedSubtleJavaDocs InterpolatedReuse IsInferredSafeTest+ IsInterpolatedOneParameterSafetyTest+ MVCAndFactoryCalls PrintGivenAndGeneratedCombinationDerivedTest+ PrintGivenAndGeneratedCombinationsInferredSafety+ PrintingCodeReuse ,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest UtilityTesterMainTest ,
8,Thu Sep 24 15:28:43 EDT 2020,43,0,UtilityClassSuite,A1AccessModifiersMatched A1InterfaceAsType ClassifierFactoryTest ControllerFactoryTest GivenSafetyTest ModelFactoryTest ModelReuse PrintGeneratedCombinationDerivedSafetyTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactoryTest WekaFileSizeTest ,A1MnemonicNames A1NamedConstants A1PublicMethodsOverride DerivedSafetyTest GenerateSafeDistancesAndDurationsTest InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest ,A1NoCheckstyleWarnings CompareSafetyComputationsTest ExpectedSubtleJavaDocs InterpolatedReuse IsInferredSafeTest IsInterpolatedOneParameterSafetyTest MVCAndFactoryCalls PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintingCodeReuse ,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest UtilityTesterMainTest ,
9,Thu Sep 24 15:28:52 EDT 2020,43,0,MainClassSuite,A1AccessModifiersMatched A1InterfaceAsType ClassifierFactoryTest ControllerFactoryTest GivenSafetyTest ModelFactoryTest ModelReuse PrintGeneratedCombinationDerivedSafetyTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactoryTest WekaFileSizeTest ,A1MnemonicNames A1NamedConstants A1PublicMethodsOverride DerivedSafetyTest GenerateSafeDistancesAndDurationsTest InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest ,A1NoCheckstyleWarnings BasicMainTest+ CompareSafetyComputationsTest DerivingMainTest+ ExpectedSubtleJavaDocs InferringMainTest+ InterpolatedReuse InterpolatingMainTest+ IsInferredSafeTest IsInterpolatedOneParameterSafetyTest MVCAndFactoryCalls PrintGivenAndGeneratedCombinationDerivedTest PrintGivenAndGeneratedCombinationsInferredSafety PrintingCodeReuse UtilityTesterMainTest+ , ,
