@relation social-distancing-safety

@attribute distance numeric

@attribute duration numeric

@attribute exhalation numeric

@attribute safe {true,false}

@data

5,5,5,false
13,120,10,true
20,20,20,true
27,120,30,true
13,30,30,true
6,15,30,true
6,30,10,true
13,120,9,true
27,120,50,false
27,120,29,true
27,30,50,true
7,15,30,true
13,15,50,true
14,119,9,true
13,120,10,true
28,119,29,true
27,120,30,true
7,14,29,true
6,15,30,true
13,120,0,true
120,120,120,false
27,120,11,true
12,29,29,false
12,15,30,true
13,120,9,false
17,69,45,false
27,120,29,true
23,40,11,false
14,29,29,true
12,42,3,false
0,74,29,false
23,59,34,false
7,29,9,true
16,115,4,true
0,30,30,false
18,33,50,false
0,10,9,false
29,41,43,false
0,27,27,false
12,45,21,false
0,123,123,false,
17,34,44,false
6,10,10,true
27,112,14,true
26,0,31,true
15,90,8,true
12,0,11,true
20,73,12,false
28,118,53,false
15,50,12,false
8,94,11,false
27,114,13,true
1,86,50,false

28,38,41,false

0,116,5,false

24,86,44,false

19,105,21,false

7,25,42,false

26,31,0,true

2147483647,31,11,true

12,126,20,false

21,63,6,true

7,30,47,false

13,131,14,false

24,15,52,false

27,111,12,true

28,41,24,true

14,65,3,true

16,129,28,false

23,56,9,true

7,30,26,false

7,120,7,false

11,30,26,false

9,22,38,false

21,4,53,false

27,30,50,true

13,15,50,true
