Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,toString,to:string
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,equals,equals
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getPropertyName,get:property:name
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getNewValue,get:new:value
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,size,size
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Boolean,none,java.lang.Boolean,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,size,size
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
